Name,HEX,RGB
Alice Blue,#F0F8FF,"rgb(94
Antique White,#FAEBD7,"rgb(98
Aqua,#00FFFF,"rgb(0
Aquamarine,#7FFFD4,"rgb(50
Azure,#F0FFFF,"rgb(94
Beige,#F5F5DC,"rgb(96
Bisque,#FFE4C4,"rgb(100
Black,#000000,"rgb(0
Blanched Almond,#FFEBCD,"rgb(100
Blue,#0000FF,"rgb(0
Blue Violet,#8A2BE2,"rgb(54
Brown,#A52A2A,"rgb(65
Burlywood,#DEB887,"rgb(87
Cadet Blue,#5F9EA0,"rgb(37
Chartreuse,#7FFF00,"rgb(50
Chocolate,#D2691E,"rgb(82
Coral,#FF7F50,"rgb(100
Cornflower Blue,#6495ED,"rgb(39
Cornsilk,#FFF8DC,"rgb(100
Crimson,#DC143C,"rgb(86
Cyan,#00FFFF,"rgb(0
Dark Blue,#00008B,"rgb(0
Dark Cyan,#008B8B,"rgb(0
Dark Goldenrod,#B8860B,"rgb(72
Dark Gray,#A9A9A9,"rgb(66
Dark Green,#006400,"rgb(0
Dark Khaki,#BDB76B,"rgb(74
Dark Magenta,#8B008B,"rgb(55
Dark Olive Green,#556B2F,"rgb(33
Dark Orange,#FF8C00,"rgb(100
Dark Orchid,#9932CC,"rgb(60
Dark Red,#8B0000,"rgb(55
Dark Salmon,#E9967A,"rgb(91
Dark Sea Green,#8FBC8F,"rgb(56
Dark Slate Blue,#483D8B,"rgb(28
Dark Slate Gray,#2F4F4F,"rgb(18
Dark Turquoise,#00CED1,"rgb(0
Dark Violet,#9400D3,"rgb(58
Deep Pink,#FF1493,"rgb(100
Deep Sky Blue,#00BFFF,"rgb(0
Dim Gray,#696969,"rgb(41
Dodger Blue,#1E90FF,"rgb(12
Firebrick,#B22222,"rgb(70
Floral White,#FFFAF0,"rgb(100
Forest Green,#228B22,"rgb(13
Fuchsia,#FF00FF,"rgb(100
Gainsboro,#DCDCDC,"rgb(86
Ghost White,#F8F8FF,"rgb(97
Gold,#FFD700,"rgb(100
Goldenrod,#DAA520,"rgb(85
Gray,#BEBEBE,"rgb(75
Web Gray,#808080,"rgb(50
Green,#00FF00,"rgb(0
Web Green,#008000,"rgb(0
Green Yellow,#ADFF2F,"rgb(68
Honeydew,#F0FFF0,"rgb(94
Hot Pink,#FF69B4,"rgb(100
Indian Red,#CD5C5C,"rgb(80
Indigo,#4B0082,"rgb(29
Ivory,#FFFFF0,"rgb(100
Khaki,#F0E68C,"rgb(94
Lavender,#E6E6FA,"rgb(90
Lavender Blush,#FFF0F5,"rgb(100
Lawn Green,#7CFC00,"rgb(49
Lemon Chiffon,#FFFACD,"rgb(100
Light Blue,#ADD8E6,"rgb(68
Light Coral,#F08080,"rgb(94
Light Cyan,#E0FFFF,"rgb(88
Light Goldenrod,#FAFAD2,"rgb(98
Light Gray,#D3D3D3,"rgb(83
Light Green,#90EE90,"rgb(56
Light Pink,#FFB6C1,"rgb(100
Light Salmon,#FFA07A,"rgb(100
Light Sea Green,#20B2AA,"rgb(13
Light Sky Blue,#87CEFA,"rgb(53
Light Slate Gray,#778899,"rgb(47
Light Steel Blue,#B0C4DE,"rgb(69
Light Yellow,#FFFFE0,"rgb(100
Lime,#00FF00,"rgb(0
Lime Green,#32CD32,"rgb(20
Linen,#FAF0E6,"rgb(98
Magenta,#FF00FF,"rgb(100
Maroon,#B03060,"rgb(69
Web Maroon,#800000,"rgb(50
Medium Aquamarine,#66CDAA,"rgb(40
Medium Blue,#0000CD,"rgb(0
Medium Orchid,#BA55D3,"rgb(73
Medium Purple,#9370DB,"rgb(58
Medium Sea Green,#3CB371,"rgb(24
Medium Slate Blue,#7B68EE,"rgb(48
Medium Spring Green,#00FA9A,"rgb(0
Medium Turquoise,#48D1CC,"rgb(28
Medium Violet Red,#C71585,"rgb(78
Midnight Blue,#191970,"rgb(10
Mint Cream,#F5FFFA,"rgb(96
Misty Rose,#FFE4E1,"rgb(100
Moccasin,#FFE4B5,"rgb(100
Navajo White,#FFDEAD,"rgb(100
Navy Blue,#000080,"rgb(0
Old Lace,#FDF5E6,"rgb(99
Olive,#808000,"rgb(50
Olive Drab,#6B8E23,"rgb(42
Orange,#FFA500,"rgb(100
Orange Red,#FF4500,"rgb(100
Orchid,#DA70D6,"rgb(85
Pale Goldenrod,#EEE8AA,"rgb(93
Pale Green,#98FB98,"rgb(60
Pale Turquoise,#AFEEEE,"rgb(69
Pale Violet Red,#DB7093,"rgb(86
Papaya Whip,#FFEFD5,"rgb(100
Peach Puff,#FFDAB9,"rgb(100
Peru,#CD853F,"rgb(80
Pink,#FFC0CB,"rgb(100
Plum,#DDA0DD,"rgb(87
Powder Blue,#B0E0E6,"rgb(69
Purple,#A020F0,"rgb(63
Web Purple,#800080,"rgb(50
Rebecca Purple,#663399,"rgb(40
Red,#FF0000,"rgb(100
Rosy Brown,#BC8F8F,"rgb(74
Royal Blue,#4169E1,"rgb(25
Saddle Brown,#8B4513,"rgb(55
Salmon,#FA8072,"rgb(98
Sandy Brown,#F4A460,"rgb(96
Sea Green,#2E8B57,"rgb(18
Seashell,#FFF5EE,"rgb(100
Sienna,#A0522D,"rgb(63
Silver,#C0C0C0,"rgb(75
Sky Blue,#87CEEB,"rgb(53
Slate Blue,#6A5ACD,"rgb(42
Slate Gray,#708090,"rgb(44
Snow,#FFFAFA,"rgb(100
Spring Green,#00FF7F,"rgb(0
Steel Blue,#4682B4,"rgb(27
Tan,#D2B48C,"rgb(82
Teal,#008080,"rgb(0
